Aeg,Kasutaja päring,Filtrid,Leitud ID-d,Leitud ained,LLM Vastus,Hinnang,Veatüüp
2026-02-26 10:01:12,"Soovin õppida andmeteadust","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:[]","['LTAT.01.001', 'LTAT.02.002', 'LTAT.03.010', 'MTAT.03.263', 'MTAT.05.118']","['Andmeteaduse alused', 'Masinõpe', 'Andmeanalüüs Pythonis', 'Tehisintellekt I', 'Andmebaasid']","Soovitan järgmisi kursusi: 1) Andmeteaduse alused (6 EAP) – annab tugeva aluse. 2) Masinõpe (6 EAP) – praktiline kursus. 3) Andmeanalüüs Pythonis (3 EAP) – hea algajale.",👍 Hea,
2026-02-26 10:05:33,"Tahan õppida programmeerimist kevadsemestril","EAP:(0.0, 60.0), Sem:['kevad'], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:[]","['LTAT.01.003', 'MTAT.03.100', 'LTAT.02.015', 'MTAT.03.236', 'MTAT.05.002']","['Programmeerimine', 'Algoritmid ja andmestruktuurid', 'Objekt-orienteeritud programmeerimine', 'Veebirakendused', 'Tarkvaratehnika']","Siin on kevadsemestri programmeerimise kursused: 1) Programmeerimine (6 EAP) – algajatele. 2) Algoritmid ja andmestruktuurid (6 EAP) – edasijõudnutele.",👍 Hea,
2026-02-26 10:10:45,"Otsin statistika kursusi Narvas","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:['Narva linn'], Aste:[], Vorm:[], Hind:[]","['P2NC.00.101', 'P2NC.00.215', 'P2NC.00.302', 'P2NC.00.118', 'P2NC.00.420']","['Sissejuhatus statistikasse', 'Matemaatika alused', 'Andmeanalüüs', 'Arvutiõpetus', 'Pedagoogika alused']","Narva linnas pakutakse statistikaga seotud kursust: 1) Sissejuhatus statistikasse (3 EAP). Soovitan ka Andmeanalüüsi kursust.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-02-26 10:15:21,"Soovin õppida keemiat veebiõppes","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:['veebiõpe'], Hind:[]","[]","[]","Kahjuks ei leidnud ühtegi keemia kursust veebiõppe vormis. Palun proovige filtreid laiendada.",👎 Halb,Filtrid olid liiga karmid/valed
2026-02-26 10:20:05,"Millised on parimad magistriõppe kursused tehisintellekti valdkonnas?","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:['magistriõpe'], Vorm:[], Hind:[]","['MTAT.03.263', 'MTAT.03.292', 'LTAT.01.001', 'MTAT.05.118', 'LTAT.02.002']","['Tehisintellekt I', 'Süvaõpe', 'Andmeteaduse alused', 'Andmebaasid', 'Masinõpe']","Magistriõppes on mitmeid suurepäraseid tehisintellekti kursusi: 1) Tehisintellekt I (6 EAP) – kursus katab AI põhiteemasid. 2) Süvaõpe (6 EAP) – närvivõrgud ja süvaõppe meetodid.",👍 Hea,
2026-02-26 10:25:44,"Soovin leida kursusi, mis õpetavad Excelit","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:[]","['MJJV.02.045', 'MJJV.02.068', 'LTAT.01.003', 'ARTH.02.064', 'FLEE.05.015']","['Arvutiõpetus ärile', 'Andmetöötlus', 'Programmeerimine', 'Sissejuhatus infotehnoloogiasse', 'Digitaalne kirjaoskus']","Soovitan järgmisi kursusi Exceli õppimiseks: 1) Arvutiõpetus ärile (3 EAP) – katab tabeltöötlust. 2) Andmetöötlus (3 EAP) – praktiline kursus. Exceli osakaale õpetatakse ka digitaalses kirjaoskuses.",👎 Halb,LLM hallutsineeris/vastas valesti
2026-02-26 10:30:18,"Otsin 3 EAP mahuga eristava hindamisega filosoofia aineid","EAP:(3.0, 3.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:['Eristav (A, B, C, D, E, F, mi)']","['FLFI.01.045', 'FLFI.02.017', 'FLFI.03.003', 'FLFI.01.050', 'FLFI.04.020']","['Sissejuhatus filosoofiasse', 'Eetika alused', 'Loogika', 'Teadusfilosoofia', 'Poliitikafilosoofia']","Filosoofia valdkonnas on 3 EAP mahuga eristava hindamisega järgmised ained: 1) Sissejuhatus filosoofiasse, 2) Eetika alused, 3) Loogika.",👍 Hea,
2026-02-26 10:35:02,"Millised kursused on seotud küberturvalisusega?","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:[]","['MTAT.07.028', 'MTAT.07.003', 'MTAT.07.024', 'MTAT.05.118', 'MTAT.03.236']","['Küberturvalisus', 'Krüptograafia', 'Võrguturve', 'Andmebaasid', 'Veebirakendused']","Küberturvalisuse valdkonnas on TÜ-s mitmeid kursusi: 1) Küberturvalisus (6 EAP) – katab peamisi turvalisuse teemasid. 2) Krüptograafia (6 EAP) – krüpteerimismeetodid.",👍 Hea,
2026-02-26 10:40:15,"Soovin leida doktoriõppe kursusi sügissemestril Pärnus","EAP:(0.0, 60.0), Sem:['sügis'], Keel:[], Linn:['Pärnu linn'], Aste:['doktoriõpe'], Vorm:[], Hind:[]","[]","[]","Kahjuks ei leidnud ühtegi doktoriõppe kursust, mis toimuks sügissemestril Pärnus. Soovitan proovida laiemaid filtreid.",👎 Halb,Filtrid olid liiga karmid/valed
2026-02-26 10:45:30,"Otsin ingliskeelseid majandusteaduse kursusi","EAP:(0.0, 60.0), Sem:[], Keel:['inglise keel'], Linn:[], Aste:[], Vorm:[], Hind:[]","['MJRI.07.120', 'MJRI.02.055', 'MJRI.03.043', 'MJRI.07.080', 'MJRI.01.025']","['International Economics', 'Macroeconomics', 'Financial Management', 'Marketing Strategy', 'Business Ethics']","Siin on ingliskeelsed majandusteaduse kursused: 1) International Economics (6 EAP) - rahvusvaheline majandus. 2) Macroeconomics (6 EAP). 3) Financial Management (6 EAP).",👍 Hea,
2026-02-26 10:50:11,"Kas on mingeid robootika kursusi?","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:[]","['LOTI.05.030', 'MTAT.03.263', 'LTAT.02.002', 'MTAT.03.292', 'LTAT.01.003']","['Robootika alused', 'Tehisintellekt I', 'Masinõpe', 'Süvaõpe', 'Programmeerimine']","Robootika alused (6 EAP) on peamine robootika kursus. Lisaks soovitan Tehisintellekt I kursust, mis katab ka autonoomsete süsteemide teemasid.",👍 Hea,
2026-02-26 10:55:44,"Soovin leida psühholoogia kursusi põimõppes Tartus","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:['Tartu linn'], Aste:[], Vorm:['põimõpe'], Hind:[]","['SHPH.00.101', 'SHPH.00.205', 'SHPH.00.308', 'SHPH.00.150', 'SHPH.00.420']","['Sissejuhatus psühholoogiasse', 'Kognitiivne psühholoogia', 'Sotsiaalpsühholoogia', 'Arengupsühholoogia', 'Kliiniline psühholoogia']","Tartus põimõppe vormis on saadaval järgmised psühholoogia kursused: 1) Sissejuhatus psühholoogiasse - hea algus. 2) Kognitiivne psühholoogia - mõtlemisprotsessid. Kuid ma pean mainima ka neuroteaduse kursuseid, mis on seotud psühholoogiaga.",👎 Halb,LLM hallutsineeris/vastas valesti
2026-02-26 11:00:22,"Otsin sügissemestri matemaatika aineid bakalaureuseõppes","EAP:(0.0, 60.0), Sem:['sügis'], Keel:[], Linn:[], Aste:['bakalaureuseõpe'], Vorm:[], Hind:[]","['MTPM.01.023', 'MTPM.02.010', 'MTPM.03.005', 'MTPM.04.015', 'MTPM.05.001']","['Matemaatiline analüüs I', 'Lineaaralgebra', 'Tõenäosusteooria', 'Diskreetne matemaatika', 'Diferentsiaalvõrrandid']","Sügissemestril bakalaureuseõppes on järgmised matemaatika ained: 1) Matemaatiline analüüs I (6 EAP) - põhikursus. 2) Lineaaralgebra (6 EAP) - vektorid ja maatriksid.",👍 Hea,
2026-02-26 11:05:38,"Millised kursused on seotud loodusgeograafiaga?","EAP:(0.0, 60.0), Sem:[], Keel:[], Linn:[], Aste:[], Vorm:[], Hind:[]","['LTGM.01.005', 'LTGM.02.015', 'LTGM.03.010', 'LTGM.01.020', 'LTGM.04.008']","['Loodusgeograafia alused', 'Geoinformaatika', 'Klimatoloogia', 'Hüdroloogia', 'Mullateadus']","Loodusgeograafia valdkonnas pakub TÜ mitmeid kursusi: 1) Loodusgeograafia alused (3 EAP) - annab ülevaate. 2) Klimatoloogia (3 EAP) - kliima ja ilmastik.",👍 Hea,
